geoid (zcta),state_abbr,lon,lat,count_prop,days_above_100_today,days_above_100_30yrs,change_days_above_100,change_perc_above_100
03446,nh,-72.29753,42.86048,2986,1,3,2,200
03447,nh,-72.14831,42.75899,1872,1,2,1,100
03448,nh,-72.27197,43.0397,614,0,2,2,NA
03449,nh,-71.99581,42.97581,1249,1,3,2,200
03450,nh,-72.09135,42.94158,963,0,2,2,NA
03451,nh,-72.49867,42.80751,1782,2,6,4,200
03452,nh,-72.05967,42.82929,2472,1,2,1,100
03455,nh,-72.18348,42.89834,1155,1,2,1,100
03456,nh,-72.21508,43.13092,693,0,2,2,NA
03457,nh,-72.12253,42.9959,286,0,2,2,NA
03458,nh,-71.93787,42.86901,2733,1,2,1,100
03461,nh,-72.01053,42.75235,2775,0,2,2,NA
03462,nh,-72.40472,42.89547,1281,1,2,1,100
03464,nh,-72.11418,43.07915,1871,0,2,2,NA
03465,nh,-72.19014,42.8272,1096,1,2,1,100
03466,nh,-72.50962,42.89559,796,1,3,2,200
03467,nh,-72.4321,42.96934,1068,1,3,2,200
03470,nh,-72.34417,42.77882,3026,1,4,3,300
03561,nh,-71.81169,44.33167,3430,0,2,2,NA
03570,nh,-71.15712,44.49914,4588,0,1,1,NA
03574,nh,-71.5988,44.25337,1955,0,1,1,NA
03575,nh,-71.42372,44.2961,286,0,0,0,NA
03576,nh,-71.38465,44.91618,3502,0,0,0,NA
03579,me,-71.03298,44.96865,616,0,0,0,NA
03580,nh,-71.70155,44.16775,1019,0,1,1,NA
03581,nh,-71.13251,44.33931,1971,0,1,1,NA
03582,nh,-71.43858,44.59553,1875,0,1,1,NA
03583,nh,-71.46473,44.39675,1163,0,1,1,NA
03584,nh,-71.54518,44.48467,269,0,2,2,NA
03585,nh,-71.89463,44.22059,2543,0,1,1,NA
03586,nh,-71.79642,44.22035,757,0,1,1,NA
03588,nh,-71.20762,44.61223,1647,0,1,1,NA
03590,nh,-71.51816,44.74749,1242,0,1,1,NA
03592,nh,-71.26295,45.12285,2376,0,0,0,NA
03593,nh,-71.30374,44.31658,504,0,0,0,NA
03595,nh,-71.52679,44.30621,964,0,0,0,NA
03597,nh,-71.39284,44.73607,328,0,0,0,NA
03598,nh,-71.63208,44.37967,1710,0,2,2,NA
03601,nh,-72.29568,43.23374,346,0,2,2,NA
03602,nh,-72.33049,43.13391,1890,1,2,1,100
03603,nh,-72.38147,43.25137,2431,1,3,2,200
03604,nh,-72.3798,43.128,31,0,2,2,NA
03605,nh,-72.18131,43.2274,863,0,2,2,NA
03607,nh,-72.26864,43.19565,304,0,2,2,NA
03608,nh,-72.40642,43.07065,1606,1,2,1,100
03609,nh,-72.44548,43.14466,345,2,5,3,150
03740,nh,-71.9828,44.1808,1036,1,2,1,100
03741,nh,-72.01591,43.67191,2152,1,2,1,100
