geoid,state_abbr,population,change_perc_above_100,lon,name,count_prop,lat,days_above_100_today,days_above_100_30yrs,change_days_above_100,geometry
61074,il,4304,100,-90.12973,ZCTA5 61074,3202,42.12558,11,22,11,"list(c(-90.3173312688908, -90.3068879691028, -90.2961515406243, -90.209479, -90.1636189266522, -90.105126, -90.020582, -90.061056, -90.055152, -90.082447, -90.198069, -90.215086, -90.3173312688908, 42.1936467132019, 42.1902904013054, 42.1863469318121, 42.15268, 42.0871018738134, 42.021578, 42.00739, 42.087171, 42.158962, 42.190612, 42.196136, 42.2104, 42.1936467132019))"
61087,il,1544,114.3,-89.99263,ZCTA5 61087,1182,42.48021,7,15,8,"list(c(-90.068513560847, -90.035134, -89.94985, -89.949883, -89.943118, -89.8967957334464, -89.9555891989654, -90.068513560847, 42.508182473767, 42.445004, 42.444459, 42.448073, 42.463006, 42.5057062586044, 42.505634390945, 42.508182473767))"
62036,il,558,77.8,-90.5877,ZCTA5 62036,424,38.91658,27,48,21,"list(c(-90.6764154280269, -90.6634308380559, -90.625122, -90.54403, -90.453701712613, -90.503131, -90.598005, -90.635019, -90.6764154280269, 38.9672490978211, 38.9342213237519, 38.888654, 38.87505, 38.9669020298809, 38.924895, 38.931263, 38.975071, 38.9672490978211))"
61010,il,7496,90,-89.26788,ZCTA5 61010,3754,42.13569,10,19,9,"list(c(-89.293848, -89.322706, -89.23441, -89.239562, -89.225204, -89.306284, -89.3171, -89.293848, 42.116105, 42.07272, 42.05901, 42.154359, 42.203652, 42.202726, 42.138026, 42.116105))"
62939,il,2715,69,-88.98146,ZCTA5 62939,3751,37.55119,29,49,20,"list(c(-89.049544, -89.065016, -89.032592, -88.947952, -88.926159, -88.921442, -88.928426, -88.976475, -89.016278, -89.049544, 37.560125, 37.533472, 37.555886, 37.4882, 37.490299, 37.597111, 37.59716, 37.614571, 37.596413, 37.560125))"
61437,il,633,93.8,-90.98677,ZCTA5 61437,856,40.84618,16,31,15,"list(c(-91.0139013709393, -91.0912282493129, -90.985553, -90.93098, -90.912287, -90.940274, -91.0139013709393, 40.8956205658247, 40.8232292046201, 40.806866, 40.807052, 40.895051, 40.89516, 40.8956205658247))"
61257,il,919,100,-90.22278,ZCTA5 61257,1215,41.59055,13,26,13,"list(c(-90.23835, -90.277026, -90.318319, -90.317884, -90.241089, -90.196535, -90.165447, -90.16185, -90.216354, -90.218531, -90.23835, 41.656282, 41.542058, 41.534371, 41.508755, 41.524995, 41.540126, 41.602111, 41.644614, 41.671413, 41.671993, 41.656282))"
60918,il,603,100,-88.03041,ZCTA5 60918,984,40.59616,14,28,14,"list(c(-88.121604, -88.118248, -87.975193, -87.938212, -87.93156, -87.998512, -88.006686, -88.121604, 40.626702, 40.560802, 40.557328, 40.572019, 40.629588, 40.629063, 40.659953, 40.626702))"
61814,il,1247,100,-87.57247,ZCTA5 61814,895,40.23061,15,30,15,"list(c(-87.5297132411563, -87.62337, -87.60328, -87.5308064762674, -87.5307797287345, -87.5307338801947, -87.5302078915446, -87.5297132411563, 40.2722897859576, 40.26613, 40.19032, 40.1918298808685, 40.1939581062074, 40.1976061445009, 40.2359915751838, 40.2722897859576))"
62992,il,759,61.8,-89.16671,ZCTA5 62992,975,37.27904,34,55,21,"list(c(-89.230808, -89.231561, -89.255039, -89.215531, -89.156998, -89.132005, -89.081756, -89.022498, -89.034076, -89.072367, -89.090046, -89.184571, -89.230808, 37.331867, 37.276472, 37.232136, 37.256943, 37.241687, 37.270708, 37.263802, 37.279844, 37.297226, 37.319306, 37.299585, 37.29625, 37.331867))"
61743,il,129,100,-88.78168,ZCTA5 61743,268,40.87567,15,30,15,"list(c(-88.79713, -88.79601, -88.767126, -88.748233, -88.79713, 40.93048, 40.84276, 40.828496, 40.901628, 40.93048))"
61337,il,544,109.1,-89.32859,ZCTA5 61337,308,41.43639,11,23,12,"list(c(-89.315771, -89.3257, -89.286486, -89.315771, 41.46167, 41.429251, 41.456063, 41.46167))"
62462,il,1230,100,-88.46392,ZCTA5 62462,1118,39.23474,19,38,19,"list(c(-88.544441, -88.568003, -88.470906, -88.470934, -88.396426, -88.37794, -88.377956, -88.40599, -88.544441, 39.29123, 39.229874, 39.215029, 39.185978, 39.183252, 39.229278, 39.232888, 39.251052, 39.29123))"
61876,il,660,94.1,-87.83412,ZCTA5 61876,985,39.90514,17,33,16,"list(c(-87.86113, -87.919, -87.899497, -87.880677, -87.803995, -87.77706, -87.80934, -87.86113, 39.95323, 39.90887, 39.850769, 39.850768, 39.861716, 39.88087, 39.96861, 39.95323))"
62380,il,424,89.5,-91.19085,ZCTA5 62380,688,40.24001,19,36,17,"list(c(-91.266002, -91.258342, -91.154861, -91.123625, -91.102693, -91.143744, -91.256794, -91.266002, 40.269921, 40.214404, 40.195713, 40.21738, 40.257005, 40.283571, 40.284739, 40.269921))"
62877,il,434,86.4,-89.21306,ZCTA5 62877,1035,38.39041,22,41,19,"list(c(-89.295679, -89.2578, -89.211837, -89.127227, -89.145423, -89.154505, -89.181989, -89.220972, -89.223686, -89.295679, 38.39102, 38.349835, 38.367637, 38.351593, 38.401666, 38.42355, 38.43913, 38.44037, 38.404106, 38.39102))"
62520,il,1429,117.6,-89.45595,ZCTA5 62520,1002,39.81792,17,37,20,"list(c(-89.543645, -89.499829, -89.492033, -89.442658, -89.405897, -89.414945, -89.462609, -89.464574, -89.543645, 39.823086, 39.805398, 39.788184, 39.763246, 39.813841, 39.874701, 39.875062, 39.852877, 39.823086))"
