fips,namelsad,count_property,count_firefactor1,count_firefactor2,count_firefactor3,count_firefactor4,count_firefactor5,count_firefactor6,count_firefactor7,count_firefactor8,count_firefactor9,count_firefactor10
05037,Cross County,12246,8266,3151,708,121,0,0,0,0,0,0
05039,Dallas County,10944,1864,1465,4533,2698,366,18,0,0,0,0
05041,Desha County,9337,6154,1572,1566,28,16,1,0,0,0,0
05043,Drew County,10519,1913,1558,3649,2648,655,89,6,1,0,0
05045,Faulkner County,62001,5727,5087,18501,15670,11230,4910,876,0,0,0
05047,Franklin County,14936,129,97,1497,2957,2947,2802,3118,1356,33,0
05049,Fulton County,5377,11,11,505,1618,1762,1137,325,8,0,0
05051,Garland County,75203,5349,9363,32276,19118,7717,1230,147,3,0,0
05053,Grant County,14463,132,766,4572,5250,2971,709,62,1,0,0
05055,Greene County,27280,13431,9544,3769,524,12,0,0,0,0,0
05057,Hempstead County,15686,332,731,7433,4992,1917,281,0,0,0,0
05059,Hot Spring County,23001,494,1042,6126,7986,5691,1524,137,1,0,0
05061,Howard County,10130,403,619,2769,3590,1916,800,33,0,0,0
05063,Independence County,28833,1319,566,10134,10589,4631,1415,179,0,0,0
05065,Izard County,28867,1884,4503,8113,7547,5096,1442,280,2,0,0
05067,Jackson County,14180,8802,3390,676,583,547,170,12,0,0,0
05069,Jefferson County,53687,22494,10585,11548,6090,2356,497,117,0,0,0
05071,Johnson County,15977,218,209,3247,5313,4148,2103,700,39,0,0
05073,Lafayette County,10825,682,1375,5292,2888,564,24,0,0,0,0
05075,Lawrence County,6894,3624,482,1033,1083,581,90,1,0,0,0
05077,Lee County,10144,6577,3032,526,9,0,0,0,0,0,0
05079,Lincoln County,7238,2331,594,2475,1443,376,19,0,0,0,0
05081,Little River County,14456,1303,1689,4597,4030,2577,203,42,15,0,0
05083,Logan County,19237,211,104,996,2775,4618,4917,2702,2778,136,0
05085,Lonoke County,36924,6701,7528,16472,4980,1146,73,19,5,0,0
05087,Madison County,19316,60,48,1791,5932,8271,2747,455,12,0,0
