fips,count_property,count_heatfactor1,count_heatfactor2,count_heatfactor3,count_heatfactor4,count_heatfactor5,count_heatfactor6,count_heatfactor7,count_heatfactor8,count_heatfactor9,count_heatfactor10
1984,1490,0,0,0,0,1450,40,0,0,0,0
1985,1908,0,0,0,1778,130,0,0,0,0,0
2019,6111,0,0,0,5303,807,1,0,0,0,0
2021,7039,0,0,0,246,6271,515,6,1,0,0
2025,3104,0,0,0,13,3054,37,0,0,0,0
2026,8549,0,0,0,0,4042,4497,10,0,0,0
2030,2503,0,0,0,161,2320,22,0,0,0,0
2032,1562,0,0,0,0,1491,70,1,0,0,0
2035,5924,0,0,0,3355,2568,1,0,0,0,0
2038,9949,0,0,0,8787,1160,2,0,0,0,0
2043,7613,0,0,0,462,6910,241,0,0,0,0
2045,4785,0,0,0,22,3520,1243,0,0,0,0
2047,323,0,0,0,0,268,55,0,0,0,0
2048,7293,0,0,0,1535,5717,39,2,0,0,0
2050,12274,0,0,0,1018,10908,348,0,0,0,0
2052,4317,0,0,0,285,4029,3,0,0,0,0
2053,4768,0,0,0,4354,414,0,0,0,0,0
2054,3159,0,0,0,1190,1968,1,0,0,0,0
2056,3857,0,0,0,2656,1201,0,0,0,0,0
2061,4425,0,0,0,1101,3324,0,0,0,0,0
2062,8074,0,0,0,0,3395,4646,33,0,0,0
2066,7916,0,0,0,110,7730,76,0,0,0,0
2067,6422,0,0,0,2948,3473,1,0,0,0,0
2071,348,0,0,0,173,175,0,0,0,0,0
2072,9401,0,0,0,1524,7793,84,0,0,0,0
2081,6830,0,0,0,687,6055,88,0,0,0,0
2090,5151,0,0,0,1,4116,1016,18,0,0,0
2093,4338,0,0,0,3513,824,0,1,0,0,0
2108,609,0,0,0,0,1,599,9,0,0,0
2109,346,0,0,0,0,19,326,1,0,0,0
2110,192,0,0,0,1,77,114,0,0,0,0
2111,450,0,0,0,0,3,392,55,0,0,0
2113,931,0,0,0,0,9,893,29,0,0,0
2114,1073,0,0,0,0,6,1009,58,0,0,0
2115,1192,0,0,0,0,4,1097,91,0,0,0
2116,2118,0,0,0,0,1,2106,11,0,0,0
2118,2398,0,0,0,0,0,2354,44,0,0,0
2119,4819,0,0,0,0,171,4645,3,0,0,0
2120,1390,0,0,0,0,71,1309,10,0,0,0
2121,3804,0,0,0,0,65,3739,0,0,0,0
2122,4633,0,0,0,0,96,4534,3,0,0,0
2124,9104,0,0,0,0,314,8787,3,0,0,0
2125,5469,0,0,0,2,242,5219,6,0,0,0
2126,5737,0,0,0,0,176,5541,20,0,0,0
2127,6356,0,0,0,1,26,6188,141,0,0,0
2128,6524,0,0,0,0,139,6283,102,0,0,0
2129,3081,0,0,0,0,41,3035,5,0,0,0
2130,6461,0,0,0,0,1457,4998,6,0,0,0
2131,6934,0,0,0,0,1077,5826,31,0,0,0
2132,9598,0,0,0,0,4817,4779,2,0,0,0
2134,2180,0,0,0,0,4,1940,236,0,0,0
2135,5252,0,0,0,0,1087,4141,23,1,0,0
2136,6984,0,0,0,0,1660,5302,22,0,0,0
2138,4616,0,0,0,0,1083,3522,11,0,0,0
2139,3981,0,0,0,0,7,3780,194,0,0,0
2140,2688,0,0,0,0,100,2588,0,0,0,0
2141,1725,0,0,0,0,4,1624,97,0,0,0
2142,123,0,0,0,0,11,108,4,0,0,0
2143,4353,0,0,0,0,0,4187,166,0,0,0
2144,4641,0,0,0,0,44,4595,2,0,0,0
2145,4287,0,0,0,0,2,4272,13,0,0,0
2148,11577,0,0,0,0,2314,9208,55,0,0,0
2149,7902,0,0,0,0,58,7693,151,0,0,0
2150,4935,0,0,0,0,57,4557,321,0,0,0
2151,12838,0,0,0,1,1439,11392,6,0,0,0
2152,4595,0,0,0,2,926,3667,0,0,0,0
2155,14842,0,0,0,0,5724,9097,21,0,0,0
2163,5,0,0,0,0,0,5,0,0,0,0
2169,12467,0,0,0,2,6481,5983,1,0,0,0
2170,4834,0,0,0,0,1390,3435,9,0,0,0
2171,3965,0,0,0,0,1240,2709,16,0,0,0
2176,8485,0,0,0,27,6792,1666,0,0,0,0
2180,6336,0,0,0,24,6042,270,0,0,0,0
2184,11648,0,0,0,193,10791,659,5,0,0,0
2186,8471,0,0,0,0,3882,4589,0,0,0,0
2188,4167,0,0,0,102,4038,27,0,0,0,0
2189,4183,0,0,0,22,4041,120,0,0,0,0
2190,5411,0,0,0,990,4303,118,0,0,0,0
2191,3098,0,0,0,2,2879,217,0,0,0,0
2199,12,0,0,0,0,0,10,2,0,0,0
2203,11,0,0,0,0,0,11,0,0,0,0
2210,349,0,0,0,0,42,285,22,0,0,0
2215,897,0,0,0,0,22,858,17,0,0,0
2301,14542,0,0,0,1152,13188,201,1,0,0,0
2302,10583,0,0,0,1207,9357,19,0,0,0,0
2322,1948,0,0,0,540,1394,12,2,0,0,0
2324,8076,0,0,0,792,7272,12,0,0,0,0
2330,4615,0,0,0,410,4190,15,0,0,0,0
2332,6232,0,0,0,599,5632,1,0,0,0,0
2333,6081,0,0,0,1082,4991,8,0,0,0,0
2338,3040,0,0,0,118,2914,8,0,0,0,0
2339,5163,0,0,0,666,4490,7,0,0,0,0
2341,4096,0,0,0,567,3529,0,0,0,0,0
2343,4825,0,0,0,1198,3619,8,0,0,0,0
2346,9345,0,0,0,3124,6201,20,0,0,0,0
2347,5111,0,0,0,2157,2954,0,0,0,0,0
2351,5173,0,0,0,1253,3920,0,0,0,0,0
2356,4581,0,0,0,2055,2525,1,0,0,0,0
2357,8,0,0,0,0,8,0,0,0,0,0
2359,6661,0,0,0,390,6263,8,0,0,0,0
2360,26027,0,0,0,3807,21834,386,0,0,0,0
2364,5488,0,0,0,95,5362,31,0,0,0,0
2367,1398,0,0,0,115,1280,3,0,0,0,0
2368,9277,0,0,0,216,8828,232,1,0,0,0
2370,5279,0,0,0,789,4476,14,0,0,0,0
2375,3447,0,0,0,1596,1850,1,0,0,0,0
2379,3149,0,0,0,1111,2029,9,0,0,0,0
2382,4719,0,0,0,526,4182,11,0,0,0,0
2420,4967,0,0,0,260,4694,13,0,0,0,0
2421,6369,0,0,0,304,6028,37,0,0,0,0
2445,3495,0,0,0,0,1816,1674,5,0,0,0
2446,2760,0,0,0,0,453,2295,12,0,0,0
2451,5061,0,0,0,37,4263,760,1,0,0,0
2452,2306,0,0,0,0,1956,350,0,0,0,0
2453,5945,0,0,0,0,2457,3486,2,0,0,0
2457,7,0,0,0,0,7,0,0,0,0,0
2458,3442,0,0,0,0,1711,1727,4,0,0,0
2459,5616,0,0,0,0,4542,1074,0,0,0,0
2460,2449,0,0,0,0,831,1618,0,0,0,0
2461,2350,0,0,0,0,1691,659,0,0,0,0
2462,504,0,0,0,0,331,173,0,0,0,0
2464,781,0,0,0,0,518,261,2,0,0,0
2465,3930,0,0,0,0,1948,1982,0,0,0,0
2466,1841,0,0,0,0,871,968,2,0,0,0
2467,3586,0,0,0,4,3423,159,0,0,0,0
2468,2005,0,0,0,0,1808,197,0,0,0,0
2472,7727,0,0,0,0,3268,4454,5,0,0,0
2474,7454,0,0,0,211,4654,2589,0,0,0,0
2476,5134,0,0,0,148,4644,342,0,0,0,0
2478,7296,0,0,0,35,5756,1505,0,0,0,0
2481,5010,0,0,0,0,4760,250,0,0,0,0
2482,3365,0,0,0,0,3180,185,0,0,0,0
2492,6734,0,0,0,0,4875,1856,3,0,0,0
2493,4043,0,0,0,267,3767,9,0,0,0,0
2494,3036,0,0,0,0,1758,1268,9,1,0,0
2532,6381,0,0,0,525,5785,71,0,0,0,0
2534,928,0,0,0,40,887,1,0,0,0,0
2535,3583,0,0,8,3454,121,0,0,0,0,0
2536,13208,0,0,0,5335,7850,23,0,0,0,0
2537,3581,0,0,0,2152,1417,12,0,0,0,0
2538,2209,0,0,0,86,2116,7,0,0,0,0
2539,6302,0,0,540,5733,29,0,0,0,0,0
2540,6081,0,0,0,551,5495,35,0,0,0,0
2542,16,0,0,0,9,7,0,0,0,0,0
2543,936,0,0,0,90,846,0,0,0,0,0
2553,195,0,0,0,5,189,1,0,0,0,0
2554,12121,0,296,11046,779,0,0,0,0,0,0
2556,2983,0,0,0,26,2951,6,0,0,0,0
2557,4993,0,0,0,3573,1420,0,0,0,0,0
2558,1702,0,0,0,82,1587,33,0,0,0,0
2559,2786,0,0,0,84,2692,10,0,0,0,0
2561,282,0,0,0,14,268,0,0,0,0,0
2562,1793,0,0,0,545,1245,3,0,0,0,0
2563,5172,0,0,0,2242,2925,5,0,0,0,0
2564,1445,0,57,1341,47,0,0,0,0,0,0
2568,3363,0,0,0,2462,901,0,0,0,0,0
2571,6744,0,0,0,212,6509,23,0,0,0,0
2575,2792,0,0,0,2442,350,0,0,0,0,0
2576,2142,0,0,0,30,2109,3,0,0,0,0
2584,14,0,0,14,0,0,0,0,0,0,0
2601,6529,0,0,0,1954,4386,189,0,0,0,0
2630,1336,0,0,0,912,424,0,0,0,0,0
2631,7386,0,0,0,833,6548,5,0,0,0,0
2632,6395,0,0,0,4908,1487,0,0,0,0,0
2633,4671,0,0,0,138,4482,51,0,0,0,0
2635,2593,0,0,0,2258,335,0,0,0,0,0
2637,207,0,0,0,157,50,0,0,0,0,0
2638,3357,0,0,0,1790,1557,10,0,0,0,0
2639,3685,0,0,0,128,3556,1,0,0,0,0
2641,784,0,0,0,8,770,6,0,0,0,0
2642,6427,0,0,0,55,6351,21,0,0,0,0
2643,117,0,0,0,0,105,12,0,0,0,0
2644,1747,0,0,0,680,1064,3,0,0,0,0
2645,7567,0,0,0,676,6876,15,0,0,0,0
2646,2553,0,0,0,118,2414,21,0,0,0,0
2647,277,0,0,0,140,137,0,0,0,0,0
2648,3581,0,0,0,2748,831,2,0,0,0,0
2649,9529,0,0,0,6946,2582,1,0,0,0,0
2650,894,0,0,0,20,874,0,0,0,0,0
2651,37,0,0,0,0,36,1,0,0,0,0
2652,1599,0,0,0,0,1374,225,0,0,0,0
2653,5409,0,0,0,83,5283,43,0,0,0,0
2655,3052,0,0,0,2396,656,0,0,0,0,0
2657,2370,0,0,0,1,1173,1195,1,0,0,0
2659,1419,0,0,0,29,1388,2,0,0,0,0
2660,4793,0,0,0,318,4454,21,0,0,0,0
2663,526,0,0,0,16,510,0,0,0,0,0
2664,6472,0,0,0,1574,4892,6,0,0,0,0
2666,1751,0,0,0,27,1514,206,4,0,0,0
2667,4504,0,0,0,72,4391,41,0,0,0,0
2668,2155,0,0,0,1413,730,12,0,0,0,0
2669,587,0,0,0,0,581,6,0,0,0,0
2670,2270,0,0,0,160,2110,0,0,0,0,0
2671,1302,0,0,0,97,1205,0,0,0,0,0
2672,346,0,0,0,208,138,0,0,0,0,0
2673,5850,0,0,0,3380,2468,2,0,0,0,0
2675,3766,0,0,0,2286,1480,0,0,0,0,0
2702,1863,0,0,0,201,1646,16,0,0,0,0
2703,14454,0,0,0,1176,12969,309,0,0,0,0
2713,205,0,0,0,104,101,0,0,0,0,0
2715,1904,0,0,0,521,1383,0,0,0,0,0
2717,2321,0,0,0,717,1596,8,0,0,0,0
2718,2479,0,0,0,224,2252,3,0,0,0,0
2719,7746,0,0,0,520,7161,65,0,0,0,0
2720,6960,0,0,0,123,5703,1134,0,0,0,0
