fips,count_property,count_firefactor1,count_firefactor2,count_firefactor3,count_firefactor4,count_firefactor5,count_firefactor6,count_firefactor7,count_firefactor8,count_firefactor9,count_firefactor10
02571,6782,3229,1862,1364,101,226,0,0,0,0,0
02575,2464,896,1315,253,0,0,0,0,0,0,0
02576,2113,649,1111,344,9,0,0,0,0,0,0
02584,36,18,18,0,0,0,0,0,0,0,0
02601,6549,5084,1146,313,6,0,0,0,0,0,0
02630,1418,553,523,333,9,0,0,0,0,0,0
02631,7469,3004,2472,1990,3,0,0,0,0,0,0
02632,6452,4502,1312,638,0,0,0,0,0,0,0
02633,5345,4507,702,136,0,0,0,0,0,0,0
02635,2569,889,956,699,25,0,0,0,0,0,0
02637,224,121,95,8,0,0,0,0,0,0,0
02638,3189,1700,1051,438,0,0,0,0,0,0,0
02639,3709,3308,389,12,0,0,0,0,0,0,0
02641,600,452,148,0,0,0,0,0,0,0,0
02642,6469,4670,1546,253,0,0,0,0,0,0,0
02643,53,48,5,0,0,0,0,0,0,0,0
02644,1725,413,520,654,138,0,0,0,0,0,0
02645,7608,2644,2097,2837,30,0,0,0,0,0,0
02646,2467,1888,565,14,0,0,0,0,0,0,0
02647,237,222,15,0,0,0,0,0,0,0,0
02648,3574,973,1040,1384,164,13,0,0,0,0,0
02649,9527,3043,3325,3101,58,0,0,0,0,0,0
02650,843,687,153,3,0,0,0,0,0,0,0
02652,1620,465,531,509,115,0,0,0,0,0,0
02653,5409,3066,1967,372,4,0,0,0,0,0,0
02655,3041,1922,819,300,0,0,0,0,0,0,0
02657,2370,2022,348,0,0,0,0,0,0,0,0
02659,1383,882,311,190,0,0,0,0,0,0,0
02660,5080,3248,1100,732,0,0,0,0,0,0,0
02663,688,590,86,12,0,0,0,0,0,0,0
02664,6485,5159,789,535,2,0,0,0,0,0,0
02666,1742,1031,703,8,0,0,0,0,0,0,0
02667,4325,2263,1772,290,0,0,0,0,0,0,0
02668,2133,421,1028,684,0,0,0,0,0,0,0
02670,2305,2261,44,0,0,0,0,0,0,0,0
02671,1334,1161,151,22,0,0,0,0,0,0,0
02672,344,323,21,0,0,0,0,0,0,0,0
02673,5851,4520,602,718,11,0,0,0,0,0,0
02675,3681,1634,964,1034,49,0,0,0,0,0,0
02702,1873,716,881,268,8,0,0,0,0,0,0
02703,14424,7982,5793,649,0,0,0,0,0,0,0
02713,202,182,20,0,0,0,0,0,0,0,0
02715,1875,606,852,417,0,0,0,0,0,0,0
02717,2335,675,785,844,25,6,0,0,0,0,0
